Time,First,Last
08/02/2010 09:00:00.000,20.4,20.74
08/02/2010 10:00:00.000,20.74,20.56
08/02/2010 11:00:00.000,20.59,20.65
08/02/2010 12:00:00.000,20.63,20.67
08/02/2010 13:00:00.000,20.68,20.68
08/02/2010 14:00:00.000,20.69,20.79
08/02/2010 15:00:00.000,20.79,20.9
08/02/2010 16:00:00.000,20.92,20.92
08/03/2010 09:00:00.000,20.86,20.9
08/03/2010 10:00:00.000,20.88,21.39
08/03/2010 11:00:00.000,21.4,21.64
08/03/2010 12:00:00.000,21.71,21.49
08/03/2010 13:00:00.000,21.5,21.74
08/03/2010 14:00:00.000,21.74,21.85
08/03/2010 15:00:00.000,21.89,21.92
08/03/2010 16:00:00.000,21.95,21.95
08/04/2010 09:00:00.000,21.95,20.94
08/04/2010 10:00:00.000,20.99,21.35
08/04/2010 11:00:00.000,21.3,21.37
08/04/2010 12:00:00.000,21.32,21.44
08/04/2010 13:00:00.000,21.45,21.08
08/04/2010 14:00:00.000,21.06,21.18
08/04/2010 15:00:00.000,21.2,21.22
08/04/2010 16:00:00.000,21.26,21.26
08/05/2010 09:00:00.000,20.8,20.47
08/05/2010 10:00:00.000,20.48,20.31
08/05/2010 11:00:00.000,20.26,20.15
08/05/2010 12:00:00.000,20.14,20.19
08/05/2010 13:00:00.000,20.22,20.35
08/05/2010 14:00:00.000,20.35,20.46
08/05/2010 15:00:00.000,20.46,20.44
08/05/2010 16:00:00.000,20.45,20.45
08/06/2010 09:00:00.000,20,19.8
08/06/2010 10:00:00.000,19.8,19.58
08/06/2010 11:00:00.000,19.56,19.7
08/06/2010 12:00:00.000,19.7,19.675
08/06/2010 13:00:00.000,19.67,19.71
08/06/2010 14:00:00.000,19.71,19.7
08/06/2010 15:00:00.000,19.71,19.66
08/06/2010 16:00:00.000,19.67,19.67
08/09/2010 09:00:00.000,19.98,19.81
08/09/2010 10:00:00.000,19.83,19.75
08/09/2010 11:00:00.000,19.75,19.66
08/09/2010 12:00:00.000,19.66,19.5
